ID,MODEL,MANUFACTURER_ID,DIM_WIDTH,DIM_HEIGHT,DIM_DEPTH,DIM_WEIGHT,WP,VMPP,IMPP,VOC,ISC,SOLAR_CELLS,CELL_TYPE,SURFACE_TYPE,COEF_PMAX,COEF_VOC,COEF_ISC,ACTIVE
18,TSM-510DE18,15,2187.0,1102.0,35.0,26.5,510,43.2,11.81,52.1,12.42,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
19,TSM-525DEG19C.20,15,2384.0,1096.0,35.0,32.3,525,30.8,17.04,37.1,18.14,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
20,TSM-530DEG19C.20,15,2384.0,1096.0,35.0,32.3,530,31.0,17.11,37.3,18.19,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
21,TSM-535DEG19C.20,15,2384.0,1096.0,35.0,32.3,535,31.2,17.16,37.5,18.24,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
22,TSM-540DEG19C.20,15,2384.0,1096.0,35.0,32.3,540,31.4,17.21,37.7,18.3,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
23,TSM-545DEG19C.20,15,2384.0,1096.0,35.0,32.3,545,31.6,17.24,37.9,18.35,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
24,TSM-550DEG19C.20,15,2384.0,1096.0,35.0,32.3,550,31.8,17.29,38.1,18.39,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
25,RSM120-8-585BMGD,12,2172.0,1303.0,35.0,35.0,585,34.22,17.1,41.1,18.11,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
26,RSM120-8-590BMGD,12,2172.0,1303.0,35.0,35.0,590,34.42,17.15,41.3,18.16,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
27,RSM120-8-595BMGD,12,2172.0,1303.0,35.0,35.0,595,34.6,17.2,41.5,18.21,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
28,RSM120-8-600BMGD,12,2172.0,1303.0,35.0,35.0,600,34.8,17.25,41.7,18.26,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
29,RSM120-8-605BMGD,12,2172.0,1303.0,35.0,35.0,605,34.98,17.3,41.9,18.32,MONOCRISTALINO,HALF CELL,BIFACIAL,-0.34,-0.25,0.04,0
30,CHSM72M-HC-525,6,2256.0,1133.0,35.0,27.2,525,41.26,12.72,49.1,13.43,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,0
31,CHSM72M-HC-530,6,2256.0,1133.0,35.0,27.2,530,41.43,12.79,49.3,13.52,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,0
32,CHSM72M-HC-535,6,2256.0,1133.0,35.0,27.2,535,41.6,12.86,49.5,13.61,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,0
33,CHSM72M-HC-540,6,2256.0,1133.0,35.0,27.2,540,41.76,12.93,49.7,13.72,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,0
34,CHSM72M-HC-545,6,2256.0,1133.0,35.0,27.2,545,41.93,13.0,49.9,13.81,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.27,0.045,0
35,BYD325-P6K-36-5B,7,1962.0,992.0,35.0,21.5,325,36.98,8.79,46.69,9.25,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.39,-0.31,0.07,0
36,BYD330-P6K-36-5B,7,1962.0,992.0,35.0,21.5,330,37.16,8.88,46.98,9.31,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.39,-0.31,0.07,0
37,BYD335-P6K-36-5B,7,1962.0,992.0,35.0,21.5,335,37.35,8.97,47.28,9.39,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.39,-0.31,0.07,0
38,BYD340-P6K-36-5B,7,1962.0,992.0,35.0,21.5,340,37.53,9.06,47.58,9.47,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.39,-0.31,0.07,0
39,JKM320PP-72,10,1956.0,942.0,40.0,26.5,320,37.4,8.56,46.4,9.05,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.4,-0.31,0.06,0
40,JKM325PP-72,10,1956.0,942.0,40.0,26.5,325,37.6,8.66,46.7,9.1,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.4,-0.31,0.06,0
41,JKM330PP-72,10,1956.0,942.0,40.0,26.5,330,37.8,8.74,46.9,9.14,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.4,-0.31,0.06,0
42,JKM335PP-72,10,1956.0,942.0,40.0,26.5,335,38.0,8.82,47.2,9.18,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.4,-0.31,0.06,0
43,JKM340PP-72,10,1956.0,942.0,40.0,26.5,340,38.2,8.91,47.5,9.22,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.4,-0.31,0.06,0
44,RSM144-6-330P,12,2010.0,992.0,40.0,23.0,330,34.5,7.13,43.0,7.49,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.39,-0.32,0.05,0
45,RSM144-6-335P,12,2010.0,992.0,40.0,23.0,335,34.7,7.19,43.3,7.53,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.39,-0.32,0.05,0
46,RSM144-6-340P,12,2010.0,992.0,40.0,23.0,340,34.9,7.26,43.6,7.57,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.39,-0.32,0.05,0
47,RSM144-6-345P,12,2010.0,992.0,40.0,23.0,345,35.2,7.31,43.9,7.61,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.39,-0.32,0.05,0
48,CHSM6612P-330,6,1954.0,990.0,40.0,21.8,330,37.15,8.89,45.86,9.52,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.408,-0.311,0.05,0
49,CHSM6612P-335,6,1954.0,990.0,40.0,21.8,335,37.26,9.0,45.98,9.57,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.408,-0.311,0.05,0
50,CHSM6612P-340,6,1954.0,990.0,40.0,21.8,340,37.33,9.11,46.16,9.62,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.408,-0.311,0.05,0
51,CHSM6612P-345,6,1954.0,990.0,40.0,21.8,345,37.38,9.23,46.37,9.67,POLICRISTALINO,FULL CELL,MONOFACIAL,-0.408,-0.311,0.05,0
52,TSM-340PE15H,15,2024.0,1004.0,35.0,22.8,340,37.5,9.06,46.2,9.53,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.38,-0.31,0.05,0
53,TSM-345PE15H,15,2024.0,1004.0,35.0,22.8,345,37.7,9.15,46.4,9.62,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.38,-0.31,0.05,0
54,TSM-350PE15H,15,2024.0,1004.0,35.0,22.8,350,37.9,9.23,46.7,9.71,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.38,-0.31,0.05,0
55,TSM-355PE15H,15,2024.0,1004.0,35.0,22.8,355,38.1,9.32,47.0,9.81,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.38,-0.31,0.05,0
56,TSM-390DE15M(II),15,2024.0,1004.0,35.0,22.8,390,40.0,9.75,48.8,10.3,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
57,TSM-395DE15M(II),15,2024.0,1004.0,35.0,22.8,395,40.1,9.86,48.7,10.37,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
58,TSM-400DE15M(II),15,2024.0,1004.0,35.0,22.8,400,40.3,9.92,49.0,10.45,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
59,TSM-405DE15M(II),15,2024.0,1004.0,35.0,22.8,405,40.5,10.0,49.2,10.52,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.37,-0.29,0.05,0
